开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-01 23:00:00,2026-06-18,20.939,66.542,4.478,4.578,3.383,14.859,14.534,0.761,0.155,141.0,53.191,1.657,49.372,14.1,trix_higher0^6|stoch_d_overbought^17^14^5^50&adx_plus_crossover_minus^90|price_crossover_ema^20|smacd_start_increase^140^364&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,20.991,66.735,4.335,4.736,3.172,15.395,14.092,0.738,0.151,125.0,52.8,1.79,50.647,12.5,trix_higher0^6|stoch_k_overbought^20^16^50&adx_plus_crossover_minus^90|price_crossover_ema^20|smacd_crossover_signal^220^484^286&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,21.186,67.458,3.904,4.785,3.285,17.28,14.098,0.738,0.149,126.0,53.175,1.777,50.367,12.6,trix_higher0^6|stoch_d_overbought^17^14^5^50&adx_plus_crossover_minus^90|price_crossover_ema^20|ma_atr_long_signal^12.0^14.0^2.1999999999999997&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,21.286,67.826,4.462,4.637,3.371,15.201,14.626,0.766,0.157,140.0,52.857,1.689,49.411,14.0,trix_higher0^6|stoch_k_overbought^20^16^50&adx_plus_crossover_minus^90|price_crossover_ema^20|smacd_start_increase^140^364&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,21.435,68.382,4.441,4.268,3.374,15.397,16.022,0.839,0.772,53.0,52.83,2.361,50.766,5.3,smacd_higher_signal^6^11^7|skew_negative^20^EMA&emacd_histogram_start_increase_2^140^364^98|roc_crossover0^30|smi_k_crossover0^190^114^EMA&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,21.585,68.941,3.89,4.852,3.278,17.724,14.209,0.744,0.149,127.0,52.756,1.815,50.445,12.7,trix_higher0^6|stoch_k_overbought^20^16^50&adx_plus_crossover_minus^90|price_crossover_ema^20|ma_atr_long_signal^12.0^14.0^2.1999999999999997&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,21.597,68.984,4.432,4.297,3.433,15.566,16.055,0.84,0.741,56.0,53.571,2.23,50.663,5.6,smacd_higher_signal^6^11^7|skew_negative^20^EMA&emacd_histogram_start_increase_2^140^364^98|roc_crossover0^30|mass_crossunder1^120^84&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,21.832,69.863,4.827,4.728,3.337,14.472,14.777,0.773,0.292,85.0,50.588,2.392,51.201,8.5,trix_higher0^6|tsi_higher_signal^55^39^33^EMA&price_crossover_ema^20|rsi_fast_crossover_slow^25^60|trix_crossover_signal^180^108&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,22.601,72.755,3.881,4.559,3.927,18.748,15.957,0.835,0.978,47.0,61.702,1.743,50.632,4.7,tsi_higher_signal^55^39^33^EMA|skew_negative^20^EMA&roc_crossover0^30|mass_crossunder1^140^70|tsi_crossover0^230^207^EMA&aroon_diff_crossunder0^89|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,22.627,72.851,4.038,4.643,3.727,18.04,15.691,0.821,0.872,48.0,58.333,2.018,50.785,4.8,tsi_higher_signal^55^39^33^EMA|skew_negative^20^EMA&trix_start_increase^230|roc_crossover0^30|smacd_crossover_signal_3^110^308^121&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,22.662,72.987,2.985,5.433,3.686,24.455,13.434,0.703,0.345,57.0,68.421,1.512,52.211,5.7,rvi_signal_neutral^8^2^10.0^-10.0^EMA|skew_negative^20^EMA&emacd_start_increase^55^99|adx_crossunder_threshold^230.0^20.0|adx_crossover_threshold^45.0^35.0&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,22.697,73.118,3.765,4.481,3.165,19.421,16.317,0.854,1.043,32.0,62.5,2.844,51.144,3.2,smacd_higher_signal^6^11^7|skew_negative^20^EMA&price_crossover_sma_2^45|bb_price_crossover_high_2^25.0^3.8999999999999995|kdj_k_crossover_d_2^160^144^144^15&aroon_diff_crossunder0^89|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,23.116,74.709,2.974,5.571,3.794,25.12,13.411,0.702,0.336,59.0,67.797,1.571,52.429,5.9,rvi_signal_neutral^8^2^10.0^-10.0^EMA|skew_negative^20^EMA&emacd_start_increase^55^99|sma_fast_crossover_slow^100^280|ema_fast_crossover_slow^140^280&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,23.355,75.621,2.967,5.559,3.815,25.484,13.605,0.712,0.355,57.0,68.421,1.544,52.302,5.7,rvi_signal_neutral^8^2^10.0^-10.0^EMA|skew_negative^20^EMA&emacd_start_increase^55^99|trix_crossover_signal^180^108|bb_price_crossover_low^18.0^3.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,23.403,75.802,4.075,4.736,3.66,18.6,16.005,0.838,0.691,52.0,51.923,2.4,50.595,5.2,smacd_higher_signal^6^11^7|skew_negative^20^EMA&roc_crossover0^40|smacd_start_increase^140^364|smi_k_crossover0^190^114^EMA&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,23.63,76.674,4.089,4.121,3.619,18.752,18.605,0.974,0.918,57.0,56.14,1.95,50.599,5.7,smacd_higher_signal^6^11^7|skew_negative^20^EMA&price_crossover_sma_2^45|roc_crossover0^30|stoch_k_crossover50^180^144&aroon_diff_crossunder0^89|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,23.635,76.693,4.075,4.92,3.581,18.819,15.587,0.816,0.719,46.0,54.348,2.347,51.109,4.6,smacd_higher_signal^6^11^7|skew_negative^20^EMA&roc_crossover0^40|stoch_d_crossover50^160^128^80|smi_k_crossover0^190^114^EMA&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,23.786,77.27,2.171,5.577,3.988,35.591,13.854,0.725,0.375,60.0,66.667,1.531,52.138,6.0,rvi_signal_neutral^8^2^10.0^-10.0^EMA|skew_negative^20^EMA&trix_start_increase^230|emacd_start_increase^55^99|trix_crossover_signal^150^180&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,24.11,78.519,4.089,4.23,3.707,19.204,18.56,0.971,0.926,56.0,58.929,1.782,50.618,5.6,smacd_higher_signal^6^11^7|skew_negative^20^EMA&price_crossover_sma_2^45|roc_crossover0^30|rvi_signal_crossover0^170^102^SMA&aroon_diff_crossunder0^89|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,24.272,79.144,4.075,4.451,3.857,19.42,17.782,0.931,0.789,58.0,50.0,2.285,50.834,5.8,smacd_higher_signal^6^11^7|skew_negative^20^EMA&roc_crossover0^40|emacd_histogram_start_increase^150^360^90|sma_fast_crossover_slow^100^280&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,24.612,80.463,4.075,5.195,3.776,19.744,15.488,0.811,0.717,45.0,55.556,2.415,51.184,4.5,smacd_higher_signal^6^11^7|skew_negative^20^EMA&roc_crossover0^40|ma_atr_long_signal^12.0^14.0^2.1999999999999997|kdj_k_crossover_d_2^190^171^95^15&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,24.659,80.645,4.075,5.08,3.793,19.788,15.874,0.831,0.688,51.0,52.941,2.536,51.394,5.1,smacd_higher_signal^6^11^7|skew_negative^20^EMA&adx_plus_crossover_minus^100|roc_crossover0^40|smi_k_crossover0^190^114^EMA&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,24.751,81.005,2.153,5.957,4.138,37.624,13.597,0.712,0.366,56.0,69.643,1.529,52.832,5.6,rvi_signal_neutral^8^2^10.0^-10.0^EMA|skew_negative^20^EMA&emacd_start_increase^55^99|smi_k_crossover0^190^114^EMA|bb_price_crossover_high_2^25.0^3.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,24.812,81.239,4.075,5.232,3.818,19.934,15.528,0.813,0.728,45.0,55.556,2.455,51.258,4.5,smacd_higher_signal^6^11^7|skew_negative^20^EMA&roc_crossover0^40|smi_k_crossover0^190^114^EMA|kdj_k_crossover_d_2^160^144^144^15&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,24.921,81.666,2.935,5.95,4.139,27.827,13.726,0.718,0.347,59.0,69.492,1.537,52.31,5.9,rvi_signal_neutral^8^2^10.0^-10.0^EMA|skew_negative^20^EMA&emacd_start_increase^55^99|trix_crossover_signal^180^108|tsi_crossover0^230^207^EMA&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,25.166,82.622,4.075,5.297,3.892,20.274,15.598,0.816,0.721,46.0,56.522,2.383,51.221,4.6,smacd_higher_signal^6^11^7|skew_negative^20^EMA&roc_crossover0^40|sma_fast_crossover_slow^100^280|smi_k_crossover0^190^114^EMA&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,25.881,85.436,2.933,6.297,4.409,29.13,13.568,0.71,0.341,61.0,70.492,1.506,52.461,6.1,rvi_signal_neutral^8^2^10.0^-10.0^EMA|skew_negative^20^EMA&emacd_start_increase^55^99|mass_crossunder1^120^84|mass_crossunder1^140^70&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,26.221,86.783,2.147,6.347,4.505,40.43,13.673,0.716,0.367,58.0,70.69,1.516,52.832,5.8,rvi_signal_neutral^8^2^10.0^-10.0^EMA|skew_negative^20^EMA&emacd_start_increase^55^99|mass_crossunder1^120^84|ma_atr_long_signal^18.0^22.0^2.8&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,27.057,90.122,4.084,5.017,4.361,22.067,17.963,0.94,0.738,66.0,54.545,2.027,50.816,6.6,smacd_higher_signal^6^11^7|skew_negative^20^EMA&roc_crossover0^40|roc_crossover0^30|smi_k_crossover0^190^114^EMA&aroon_diff_crossunder0^89|trailing_stop^34^3.0
