datetime,open,high,low,close,volume,convexity_higher1^6^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294&trailing_stop^34^3.5|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|mass_crossover1^220^88&aroon_diff_crossunder0^89|trailing_stop^34^2.5,smacd_increase^80^128|smi_k_higher_d^50^40^35&smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|tsi_crossover0^80^24^EMA|smi_d_crossover0^230^207^207^EMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|ema_fast_crossover_slow^30^72&aroon_diff_crossunder0^89|trailing_stop^34^2.5,kc_neutral^35.0^14.0^2.5|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294&trailing_stop^34^3.0|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|mass_crossover1^220^88&trailing_stop^34^3.5|trailing_stop^34^2.5,kc_neutral^35.0^14.0^2.5|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294&aroon_diff_crossunder0^89|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|adx_crossunder_threshold^190.0^10.0&trailing_stop^34^3.5|trailing_stop^34^2.5,smacd_increase^80^128|smi_k_higher_d^50^40^35&smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|mass_crossover1^220^88|ema_fast_crossover_slow^30^72&aroon_diff_crossunder0^109|trailing_stop^34^2.5,smacd_increase^80^128|smi_k_higher_d^50^40^35&smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|mass_crossover1^220^88|tsi_crossover0^80^24^EMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|smi_d_crossover0^230^207^207^EMA&trailing_stop^34^3.0|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|ema_fast_crossover_slow^30^72&trailing_stop^34^3.0|trailing_stop^34^2.5
2026-03-09 15:45:00,11.995,12.01,11.97,11.985,3219.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-09 16:00:00,11.985,12.0075,11.93,11.9475,3132.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-09 16:15:00,11.95,11.9775,11.93,11.95,3787.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-09 16:30:00,11.9525,11.97,11.9425,11.95,2340.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-09 16:45:00,11.95,11.97,11.9375,11.9475,1629.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-09 17:00:00,11.95,11.9725,11.9425,11.97,1994.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-09 17:15:00,11.97,11.9875,11.96,11.9775,2670.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-09 17:30:00,11.98,11.9975,11.97,11.99,2030.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-09 17:45:00,11.99,12.0025,11.9725,11.975,2522.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-09 18:00:00,11.975,11.975,11.9425,11.9625,6617.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
