coin_name,inv0,cl_name,cl_canshu,is_run,cl_id,cl_index
SI2607,15min,stoch_d_overbought^200^120^60^50|bb_neutral^30.0^3.6999999999999993&smacd_histogram_start_increase^110^220^99|smacd_crossover_signal^230^644^299|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^59|trailing_stop^34^3.0,0,1,stoch_d_overbought^200^120^60^50|bb_neutral^30.0^3.6999999999999993&smacd_histogram_start_increase^110^220^99|smacd_crossover_signal^230^644^299|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^59|trailing_stop^34^3.0,stoch_d_overbought^200^120^60^50|bb_neutral^30.0^3.6999999999999993&smacd_histogram_start_increase^110^220^99|smacd_crossover_signal^230^644^299|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^59|trailing_stop^34^3.0
SI2607,15min,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|tsi_crossover_signal^230^161^115^SMA|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^59|trailing_stop^34^2.5,0,1,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|tsi_crossover_signal^230^161^115^SMA|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^59|trailing_stop^34^2.5,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|tsi_crossover_signal^230^161^115^SMA|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^59|trailing_stop^34^2.5
SI2607,15min,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smacd_crossover_signal_3^190^380^133|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^59|trailing_stop^34^3.0,0,1,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smacd_crossover_signal_3^190^380^133|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^59|trailing_stop^34^3.0,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smacd_crossover_signal_3^190^380^133|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^59|trailing_stop^34^3.0
SI2607,15min,stoch_d_overbought^200^120^60^50|mass_lower1^70^63&smacd_histogram_start_increase^110^220^99|smacd_crossover_signal_2^230^644^322|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^89|trailing_stop^34^3.0,0,1,stoch_d_overbought^200^120^60^50|mass_lower1^70^63&smacd_histogram_start_increase^110^220^99|smacd_crossover_signal_2^230^644^322|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^89|trailing_stop^34^3.0,stoch_d_overbought^200^120^60^50|mass_lower1^70^63&smacd_histogram_start_increase^110^220^99|smacd_crossover_signal_2^230^644^322|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^89|trailing_stop^34^3.0
SI2607,15min,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA|smi_k_crossover0^210^105^EMA&aroon_diff_crossunder0^59|trailing_stop^34^2.5,0,1,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA|smi_k_crossover0^210^105^EMA&aroon_diff_crossunder0^59|trailing_stop^34^2.5,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA|smi_k_crossover0^210^105^EMA&aroon_diff_crossunder0^59|trailing_stop^34^2.5
SI2607,15min,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smacd_crossover_signal_2^230^644^322|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0,0,1,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smacd_crossover_signal_2^230^644^322|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smacd_crossover_signal_2^230^644^322|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0
SI2607,15min,stoch_d_overbought^200^120^60^50|skew_negative^25^EMA&sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0,0,1,stoch_d_overbought^200^120^60^50|skew_negative^25^EMA&sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0,stoch_d_overbought^200^120^60^50|skew_negative^25^EMA&sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0
SI2607,15min,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|tsi_crossover_signal^230^161^115^SMA|smi_k_crossover0^210^105^EMA&aroon_diff_crossunder0^59|trailing_stop^34^2.5,0,1,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|tsi_crossover_signal^230^161^115^SMA|smi_k_crossover0^210^105^EMA&aroon_diff_crossunder0^59|trailing_stop^34^2.5,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|tsi_crossover_signal^230^161^115^SMA|smi_k_crossover0^210^105^EMA&aroon_diff_crossunder0^59|trailing_stop^34^2.5
SI2607,15min,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA|bb_price_crossover_low_2^80.0^2.5&aroon_diff_crossunder0^59|trailing_stop^34^2.5,0,1,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA|bb_price_crossover_low_2^80.0^2.5&aroon_diff_crossunder0^59|trailing_stop^34^2.5,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA|bb_price_crossover_low_2^80.0^2.5&aroon_diff_crossunder0^59|trailing_stop^34^2.5
SI2607,15min,stoch_d_overbought^200^120^60^50|mass_lower1^70^63&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA|bb_price_crossover_low_2^80.0^2.5&aroon_diff_crossunder0^59|trailing_stop^34^2.5,0,1,stoch_d_overbought^200^120^60^50|mass_lower1^70^63&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA|bb_price_crossover_low_2^80.0^2.5&aroon_diff_crossunder0^59|trailing_stop^34^2.5,stoch_d_overbought^200^120^60^50|mass_lower1^70^63&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA|bb_price_crossover_low_2^80.0^2.5&aroon_diff_crossunder0^59|trailing_stop^34^2.5
