datetime,open,high,low,close,volume,bb_neutral^12.0^1.5|stoch_d_neutral^180^162^126^60^40&emacd_histogram_start_increase^70^154^56|price_crossover_ema^120|sma_fast_crossover_slow_3^50^80&trailing_stop^34^3.0|trailing_stop^34^3.5,rsi_neutral^14^65^35|stoch_d_neutral^180^162^126^60^40&mass_crossunder1^18^5|rsi_crossover50^60|smacd_histogram_start_increase^230^598^161&trailing_stop^34^2.5|trailing_stop^34^3.0,roc_higher0^90|skew_positive^140^EMA&emacd_histogram_start_increase^70^154^56|price_crossover_ema^120|rsi_crossover50^60&bb_price_crossunder_high^34^2|trailing_stop^34^3.5,roc_higher0^90|skew_positive^140^EMA&emacd_histogram_start_increase^70^154^56|second_wave_trend_1^6|price_crossover_ema^130&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
2026-05-14 03:45:00,12.245,12.2575,12.2425,12.245,421.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 04:00:00,12.2425,12.2475,12.2375,12.2475,147.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 04:15:00,12.25,12.2575,12.25,12.2525,51.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 04:30:00,12.25,12.2625,12.25,12.26,157.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 04:45:00,12.26,12.26,12.255,12.255,74.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 05:00:00,12.255,12.255,12.2475,12.25,126.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 05:15:00,12.25,12.255,12.2475,12.255,70.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 05:30:00,12.2525,12.27,12.2525,12.26,512.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 05:45:00,12.2625,12.2725,12.255,12.26,732.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 06:00:00,12.26,12.265,12.25,12.2625,445.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 06:15:00,12.2625,12.2625,12.2075,12.2125,1670.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 06:30:00,12.2125,12.2125,12.19,12.1925,1418.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 06:45:00,12.1925,12.195,12.15,12.17,2474.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 07:00:00,12.17,12.185,12.17,12.18,676.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 07:15:00,12.1775,12.19,12.1625,12.185,505.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 07:30:00,12.185,12.2075,12.175,12.2,797.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 07:45:00,12.2,12.2025,12.1925,12.1975,402.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 08:00:00,12.1975,12.2175,12.1925,12.21,409.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 08:15:00,12.21,12.2625,12.205,12.24,1404.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 08:30:00,12.24,12.2575,12.1875,12.2,3677.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 08:45:00,12.2,12.2075,12.195,12.2,825.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 09:00:00,12.1975,12.22,12.1925,12.205,1736.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 09:15:00,12.205,12.21,12.1925,12.2075,930.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 09:30:00,12.21,12.2125,12.2,12.2025,276.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 09:45:00,12.2,12.2025,12.18,12.18,399.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 10:00:00,12.1825,12.2075,12.135,12.16,2265.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 10:15:00,12.16,12.21,12.06,12.1425,7899.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 10:30:00,12.145,12.145,12.1225,12.145,608.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 10:45:00,12.145,12.15,12.115,12.1225,942.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 11:00:00,12.1225,12.1325,12.0675,12.0925,2701.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 11:15:00,12.0925,12.095,12.065,12.08,1954.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 11:30:00,12.08,12.0975,12.075,12.0925,1324.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 11:45:00,12.09,12.0975,12.0475,12.065,3014.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 12:00:00,12.065,12.0675,12.0025,12.0275,4299.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 12:15:00,12.0275,12.0425,12.01,12.0125,3228.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 12:30:00,12.0125,12.03,11.9625,11.985,4632.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 13:30:00,11.985,11.995,11.9375,11.985,16390.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 13:45:00,11.9875,12.0075,11.9575,11.9825,10164.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 14:00:00,11.9825,11.9825,11.945,11.955,6998.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 14:15:00,11.9575,11.9975,11.955,11.98,6514.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 14:30:00,11.98,11.98,11.9525,11.96,4737.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 14:45:00,11.96,11.96,11.92,11.9225,6863.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 15:00:00,11.9225,11.945,11.92,11.925,4802.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 15:15:00,11.925,11.9275,11.8575,11.865,10120.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 15:30:00,11.865,11.865,11.835,11.84,6170.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 15:45:00,11.84,11.895,11.815,11.8825,9928.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 16:00:00,11.885,11.885,11.8425,11.8525,5297.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 16:15:00,11.855,11.8575,11.84,11.845,4445.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 16:30:00,11.8475,11.855,11.84,11.8525,2737.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 16:45:00,11.85,11.8625,11.845,11.845,4263.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 17:00:00,11.845,11.8775,11.8375,11.8725,3482.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 17:15:00,11.87,11.88,11.855,11.86,3854.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
2026-05-14 17:30:00,11.8625,11.9075,11.86,11.9025,5516.0,1.1019106788136162,1.108329020380066,1.147272220541875,1.1565581890707657
