coin_name,inv0,cl_name,cl_canshu,is_run,cl_id,cl_index
SI2607,15min,stoch_d_overbought^200^120^60^50|smi_d_overbought^110^77^99^0.0^SMA&smacd_histogram_start_increase^110^220^99|stoch_d_crossover50^200^140^60&aroon_diff_crossunder0^59|trailing_stop^34^2.5,0,1,stoch_d_overbought^200^120^60^50|smi_d_overbought^110^77^99^0.0^SMA&smacd_histogram_start_increase^110^220^99|stoch_d_crossover50^200^140^60&aroon_diff_crossunder0^59|trailing_stop^34^2.5,stoch_d_overbought^200^120^60^50|smi_d_overbought^110^77^99^0.0^SMA&smacd_histogram_start_increase^110^220^99|stoch_d_crossover50^200^140^60&aroon_diff_crossunder0^59|trailing_stop^34^2.5
SI2607,15min,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^210^105^EMA&trailing_stop^34^2.5|trailing_stop^34^3.5,0,1,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^210^105^EMA&trailing_stop^34^2.5|trailing_stop^34^3.5,stoch_d_overbought^200^120^60^50|rsi_neutral^250^55^45&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^210^105^EMA&trailing_stop^34^2.5|trailing_stop^34^3.5
SI2607,15min,roc_higher0^18|rvi_signal_overbought^180^54^0.0^SMA&smacd_histogram_start_increase^110^220^99|stoch_k_crossover50^220^176&aroon_diff_crossunder0^89|trailing_stop^34^3.0,0,1,roc_higher0^18|rvi_signal_overbought^180^54^0.0^SMA&smacd_histogram_start_increase^110^220^99|stoch_k_crossover50^220^176&aroon_diff_crossunder0^89|trailing_stop^34^3.0,roc_higher0^18|rvi_signal_overbought^180^54^0.0^SMA&smacd_histogram_start_increase^110^220^99|stoch_k_crossover50^220^176&aroon_diff_crossunder0^89|trailing_stop^34^3.0
SI2607,15min,stoch_k_overbought^190^114^50|bb_neutral^8.0^1.5&price_crossover_sma^140|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^89|trailing_stop^34^2.5,0,1,stoch_k_overbought^190^114^50|bb_neutral^8.0^1.5&price_crossover_sma^140|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^89|trailing_stop^34^2.5,stoch_k_overbought^190^114^50|bb_neutral^8.0^1.5&price_crossover_sma^140|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^89|trailing_stop^34^2.5
SI2607,15min,stoch_d_overbought^200^120^60^50|mass_lower1^70^63&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^109|trailing_stop^34^3.5,0,1,stoch_d_overbought^200^120^60^50|mass_lower1^70^63&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^109|trailing_stop^34^3.5,stoch_d_overbought^200^120^60^50|mass_lower1^70^63&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^109|trailing_stop^34^3.5
SI2607,15min,rvi_signal_overbought^180^54^0.0^SMA|mass_lower1^70^63&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0,0,1,rvi_signal_overbought^180^54^0.0^SMA|mass_lower1^70^63&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0,rvi_signal_overbought^180^54^0.0^SMA|mass_lower1^70^63&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0
SI2607,15min,stoch_d_overbought^200^120^60^50|convexity_higher1^6^SMA&smacd_histogram_start_increase^110^220^99|stoch_d_crossover50^200^140^60&aroon_diff_crossunder0^109|trailing_stop^34^3.0,0,1,stoch_d_overbought^200^120^60^50|convexity_higher1^6^SMA&smacd_histogram_start_increase^110^220^99|stoch_d_crossover50^200^140^60&aroon_diff_crossunder0^109|trailing_stop^34^3.0,stoch_d_overbought^200^120^60^50|convexity_higher1^6^SMA&smacd_histogram_start_increase^110^220^99|stoch_d_crossover50^200^140^60&aroon_diff_crossunder0^109|trailing_stop^34^3.0
SI2607,15min,stoch_k_overbought^190^114^50|mass_lower1^70^63&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^210^105^EMA&aroon_diff_crossunder0^59|trailing_stop^34^3.0,0,1,stoch_k_overbought^190^114^50|mass_lower1^70^63&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^210^105^EMA&aroon_diff_crossunder0^59|trailing_stop^34^3.0,stoch_k_overbought^190^114^50|mass_lower1^70^63&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^210^105^EMA&aroon_diff_crossunder0^59|trailing_stop^34^3.0
SI2607,15min,stoch_d_overbought^200^120^60^50|mass_lower1^70^63&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA&roc_crossunder0^59|trailing_stop^34^2.5,0,1,stoch_d_overbought^200^120^60^50|mass_lower1^70^63&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA&roc_crossunder0^59|trailing_stop^34^2.5,stoch_d_overbought^200^120^60^50|mass_lower1^70^63&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA&roc_crossunder0^59|trailing_stop^34^2.5
SI2607,15min,stoch_d_overbought^200^120^60^50|kdj_d_overbought^130^117^39^50&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0,0,1,stoch_d_overbought^200^120^60^50|kdj_d_overbought^130^117^39^50&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0,stoch_d_overbought^200^120^60^50|kdj_d_overbought^130^117^39^50&smacd_histogram_start_increase^110^220^99|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0
