datetime,open,high,low,close,volume,kc_neutral^60.0^24.0^1.9&emacd_crossover_signal^80^176^48&trailing_stop^34^3.0,skew_positive^60^EMA&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.5,smi_d_neutral^30^24^27^25.0^-25.0^SMA&kdj_k_crossover50^30^21&trailing_stop^34^3.0,kdj_k_neutral^8^2^85^15&rvi_signal_crossover0^30^24^EMA&trailing_stop^34^3.5,smi_d_neutral^30^24^27^25.0^-25.0^SMA&rvi_signal_crossover0^30^24^EMA&trailing_stop^34^3.0,rvi_overbought^29^0.0^SMA&kdj_k_crossover50^29^23&trailing_stop^34^3.0,supertrend_long_period^10.0^2.6999999999999997&price_crossover_sma_2^40&trailing_stop^34^3.5,kdj_d_neutral^60^30^18^75^25&rvi_signal_crossover0^30^24^EMA&trailing_stop^34^3.0,atr_fast_higher_slow^110^198&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0,sma_fast_higher_slow^6^11&rvi_signal_crossover0^30^24^EMA&trailing_stop^34^3.0,kc_neutral^60.0^24.0^1.9&rvi_signal_crossover0^30^24^EMA&trailing_stop^34^3.0,smi_d_neutral^30^24^27^25.0^-25.0^SMA&kdj_k_crossover50^29^23&trailing_stop^34^3.0,smi_k_higher_d^40^12^28&kdj_k_crossover50^30^21&trailing_stop^34^3.0,emacd_increase^55^88&smi_k_crossover_d_2^60^48^42^15&trailing_stop^34^3.0,rvi_higher_signal^70^63&kdj_k_crossover50^29^23&trailing_stop^34^3.0,emacd_higher_signal^12^29^8&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,price_higher_ema^45&smi_k_crossover_d_2^60^48^42^15&trailing_stop^34^3.0,emacd_increase^35^56&smi_k_crossover_d_2^60^48^42^15&trailing_stop^34^3.0,aroon_diff_higher0^30&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0,tsi_higher_signal^20^14^12^EMA&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,mass_higher1^150^60&emacd_crossover_signal^80^176^48&trailing_stop^34^3.5,mass_higher1^180^54&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0,atr_fast_higher_slow^110^198&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,emacd_histogram_increase^45^108^49&smi_k_crossover_d_2^60^48^42^15&trailing_stop^34^3.0,kdj_k_neutral^8^2^85^15&kdj_k_crossover50^29^23&trailing_stop^34^3.0,mass_higher1^180^54&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,mass_higher1^150^60&emacd_crossover_signal^70^182^42&trailing_stop^34^3.0,aroon_diff_higher0^50&kdj_k_crossover50^29^23&trailing_stop^34^3.5,mass_higher1^150^60&emacd_start_increase^120^288&trailing_stop^34^3.0,emacd_increase^55^88&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,kdj_k_neutral^8^2^85^15&rvi_signal_crossover0^30^24^EMA&trailing_stop^34^3.0,atr_fast_higher_slow^90^162&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,mass_higher1^150^60&kdj_k_crossover_d^80^72^72&trailing_stop^34^3.0,mass_higher1^150^60&emacd_start_increase^140^252&trailing_stop^34^3.0,adx_plus_higher_minus^12&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,mass_lower1^20^16&emacd_histogram_start_increase^220^396^308&trailing_stop^34^3.0,adx_plus_higher_minus^10&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,mass_higher1^150^60&emacd_crossover_signal^80^176^48&trailing_stop^34^3.0,mass_higher1^150^60&tsi_crossover_signal^150^105^45^EMA&trailing_stop^34^3.0,aroon_diff_higher0^50&kdj_k_crossover50^30^21&trailing_stop^34^3.5,emacd_increase^35^56&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,atr_fast_higher_slow^90^162&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0,supertrend_long_period^210.0^3.0999999999999996&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0,ma_atr_long_period^8.0^8.0^1.2&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0,rsi_neutral^11^60^40&rvi_signal_crossover0^30^24^EMA&trailing_stop^34^3.0,mass_higher1^150^60&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.5,mass_higher1^150^60&kdj_k_crossover50^30^21&trailing_stop^34^3.0,mass_higher1^180^54&kdj_k_crossover50^29^23&trailing_stop^34^3.0,rvi_higher_signal^70^63&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,adx_higher_threshold^50.0^10.0&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,mass_higher1^150^60&kdj_k_crossover50^29^23&trailing_stop^34^3.0,mass_higher1^150^60&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,emacd_histogram_increase^45^108^49&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0
2026-04-15 12:00:00,6.079,6.087,6.072,6.0815,469,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-15 12:15:00,6.0805,6.088,6.08,6.0845,329,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-15 12:30:00,6.084,6.093,6.084,6.092,348,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-15 12:45:00,6.0915,6.0925,6.0835,6.0835,314,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-15 13:00:00,6.0835,6.0955,6.0835,6.095,932,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-15 13:15:00,6.095,6.098,6.092,6.0935,784,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-15 13:30:00,6.0935,6.0935,6.065,6.0675,955,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-15 13:45:00,6.0675,6.0865,6.067,6.084,463,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-15 14:00:00,6.0845,6.085,6.074,6.082,409,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-15 14:15:00,6.0815,6.0825,6.0705,6.081,578,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-15 14:30:00,6.0815,6.0825,6.069,6.078,544,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-15 14:45:00,6.077,6.093,6.0725,6.0835,471,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-15 15:00:00,6.0845,6.0885,6.0705,6.081,587,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-15 15:15:00,6.081,6.0855,6.0735,6.0735,511,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
